title,desc,date,datetime,link,img,media,site,log_date,subject
"NetWitness, SDG Partner for Cybersecurity, Compliance",,9 days ago,2023-10-13 20:24:07.411215,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lm1zc3BhbGVydC5jb20vbmV3cy9uZXR3aXRuZXNzLXNkZy1wYXJ0bmVyLWZvci1jeWJlcnNlY3VyaXR5LWNvbXBsaWFuY2XSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/hGuBFTLxPcoHqhCIehOF_JYy8A66w3PUCiqegDy72KdAtFR4UdPV8p0A85VFwGvdzaEfPx1qFw=s0-h14-rp,MSSP Alert,,1698017044.668618,Cybersecurity-threats
Many companies far from ready for fast-approaching SEC cybersecurity deadline,,9 days ago,2023-10-13 20:24:07.409190,news.google.com/./articles/CBMigAFodHRwczovL3d3dy5iZW5lZml0c3Byby5jb20vMjAyMy8xMC8xMy9tYW55LWNvbXBhbmllcy1mYXItZnJvbS1yZWFkeS1mb3ItZmFzdC1hcHByb2FjaGluZy1zZWMtY3liZXJzZWN1cml0eS1kZWFkbGluZS00MTItMTU2MDMwL9IBhgFodHRwczovL3d3dy5iZW5lZml0c3Byby5jb20vMjAyMy8xMC8xMy9tYW55LWNvbXBhbmllcy1mYXItZnJvbS1yZWFkeS1mb3ItZmFzdC1hcHByb2FjaGluZy1zZWMtY3liZXJzZWN1cml0eS1kZWFkbGluZS00MTItMTU2MDMwLz9hbXA9MQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/dVfiZk9Q5rKXiRMtXCFYTNlab2c1Pqr3wvn6LOK_AX77jz9chqy03VXwBZJkkg-eDqfPVpnktg=s0-h14-rp,BenefitsPro,,1698017044.668618,Cybersecurity-threats
EPA Withdraws Drinking Water System Cybersecurity Rule,,9 days ago,2023-10-13 20:24:07.408196,news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmxhdzM2MC5jb20vYXJ0aWNsZXMvMTczMjQ1NS9lcGEtd2l0aGRyYXdzLWRyaW5raW5nLXdhdGVyLXN5c3RlbS1jeWJlcnNlY3VyaXR5LXJ1bGXSAStodHRwczovL3d3dy5sYXczNjAuY29tL2FtcC9hcnRpY2xlcy8xNzMyNDU1?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/7UsZ2oYhY4sE-irYp__vFXLJnDy8Dm5cOhPYctU72ZssC_tOLgSiwyMuJGu4ddyo4B_V-gnPslEi5RT8CPBPAFGNQDr7yi1HhtM-LIejSs-xskovXgQ-WMo-dOBUxfBEZXhsq0svORKg761eHdyOhT8LtLIssdklKH882MJ4j3AAqDU_vCxXMkPwFwR42g=s0-h14-rp,Law360,,1698017044.668618,Cybersecurity-threats
AI to vendor consolidation: How VC founder sees cybersecurity ...,,9 days ago,2023-10-13 20:24:07.407203,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LnNkeGNlbnRyYWwuY29tL2FydGljbGVzL2ZlYXR1cmUvYWktdG8tdmVuZG9yLWNvbnNvbGlkYXRpb24taG93LXZjLWZvdW5kZXItc2Vlcy1jeWJlcnNlY3VyaXR5LWludmVzdGluZy8yMDIzLzEwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/m0ODqr9TvhUEXsESFY4_WQNTPrJ_h9pG-l1X8HLNtIQuefvSs6iDPQOdRRWrZ_ycoRIgsKOcxw=s0-h14-rp,SDxCentral,,1698017044.668618,Cybersecurity-threats
Unmasking the Vulnerabilities: A Deep Dive into Cybersecurity Threats in Paradise,,9 days ago,2023-10-13 20:24:07.407203,news.google.com/./articles/CBMid2h0dHBzOi8vc2VjdXJpdHlib3VsZXZhcmQuY29tLzIwMjMvMTAvdW5tYXNraW5nLXRoZS12dWxuZXJhYmlsaXRpZXMtYS1kZWVwLWRpdmUtaW50by1jeWJlcnNlY3VyaXR5LXRocmVhdHMtaW4tcGFyYWRpc2Uv0gF7aHR0cHM6Ly9zZWN1cml0eWJvdWxldmFyZC5jb20vMjAyMy8xMC91bm1hc2tpbmctdGhlLXZ1bG5lcmFiaWxpdGllcy1hLWRlZXAtZGl2ZS1pbnRvLWN5YmVyc2VjdXJpdHktdGhyZWF0cy1pbi1wYXJhZGlzZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/7iBoPfq_my7rpJVQB7ZKDDoeGIChZ2nZCXfnHa6_LXZQgxxW4VSKsm0rxLBltItYXsp27BQe=s0-h14-rp,Security Boulevard,,1698017044.668618,Cybersecurity-threats
Cybersecurity in defence: Q&A with GlobalData thematic analyst,,9 days ago,2023-10-13 20:24:07.406194,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmFpcmZvcmNlLXRlY2hub2xvZ3kuY29tL2NvbW1lbnQvY3liZXJzZWN1cml0eS1pbi1kZWZlbmNlLXFhLXdpdGgtZ2xvYmFsZGF0YS1hbmFseXN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.airforce-technology.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Airforce Technology,,1698017044.668618,Cybersecurity-threats
Business Roundtable Comments on the Request for Information on ...,,9 days ago,2023-10-13 20:24:07.405096,news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5idXNpbmVzc3JvdW5kdGFibGUub3JnL2J1c2luZXNzLXJvdW5kdGFibGUtY29tbWVudHMtb24tdGhlLXJlcXVlc3QtZm9yLWluZm9ybWF0aW9uLW9uLWN5YmVyc2VjdXJpdHktcmVndWxhdG9yeS1oYXJtb25pemF0aW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.businessroundtable.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Business Roundtable,,1698017044.668618,Cybersecurity-threats
SMBs Struggle to Keep Pace with Cyber Security Threats,,9 days ago,2023-10-13 20:24:07.403199,news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3Lml0c2VjdXJpdHlndXJ1Lm9yZy8yMDIzLzEwLzEzL3NtYnMtc3RydWdnbGUtdG8ta2VlcC1wYWNlLXdpdGgtY3liZXItc2VjdXJpdHktdGhyZWF0cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.itsecurityguru.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",IT Security Guru,,1698017044.668618,Cybersecurity-threats
Verizon Business leaders provide insights and best practices during ...,,9 days ago,2023-10-13 20:24:07.402207,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnZlcml6b24uY29tL2Fib3V0L25ld3MvdmVyaXpvbi1idXNpbmVzcy1sZWFkZXJzLWluc2lnaHRzLWJlc3QtcHJhY3RpY2VzLWN5YmVyc2VjdXJpdHktYXdhcmVuZXNz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/8v_IsjrW4n_dUKxaNTrxbQha1-E-OW44K2VT3Z9WPLGy1Tdt2WBzy7PszvzNmxLhgwUcy-cK=s0-h14-rp,Verizon News,,1698017044.668618,Cybersecurity-threats
BEYOND LOCAL: What is a virtual power plant? An energy expert ...,,4 hours ago,2023-10-22 16:24:10.851954,news.google.com/./articles/CBMidmh0dHBzOi8vd3d3Lmxvbmdtb250bGVhZGVyLmNvbS9sb2NhbC1uZXdzL2JleW9uZC1sb2NhbC13aGF0LWlzLWEtdmlydHVhbC1wb3dlci1wbGFudC1hbi1lbmVyZ3ktZXhwZXJ0LWV4cGxhaW5zLTc3MTMyNTXSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tuvlaYsQ7ImBQzTw0VHM1WeRKGIpN9n6GRYSPiW61P17yE4ZslxnaYwkcw-vXKtrTQALhJW9=s0-h14-rp,The Longmont Leader,,1698017047.422097,energy-resources
New group pushes back against energy storage proposal in Wendell,,7 hours ago,2023-10-22 13:24:10.859954,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnJlY29yZGVyLmNvbS9OZXctZ3JvdXAtcHVzaGVzLWJhY2stYWdhaW5zdC1lbmVyZ3ktc3RvcmFnZS1wcm9wb3NhbC1pbi1XZW5kZWxsLTUyNzMxODIz0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.recorder.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Recorder,,1698017047.422097,energy-resources
$1.1 million in federal funding to boost Naperville's energy grid,,Yesterday,2023-10-21 20:24:10.866566,news.google.com/./articles/CBMimgFodHRwczovL3d3dy5jaGljYWdvdHJpYnVuZS5jb20vc3VidXJicy9uYXBlcnZpbGxlLXN1bi9jdC1udnMtbmFwZXJ2aWxsZS1mZWRlcmFsLWdyYW50LWVsZWN0cmljLWdyaWQtc3QtMTAyMi0yMDIzMTAyMS1jeXF5Z2Jnd3VuYWx6Y2JreXBweHlkc21weS1zdG9yeS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/r9q1WoslLveXau9_fMX3esL7-HgYrRJ7twoklvuQ3fSTeEjkJKqykRYSXNty5_YCky58VPq3=s0-h14-rp,Chicago Tribune,,1698017047.422097,energy-resources
World Energy Saving Day: how we can contribute,,Yesterday,2023-10-21 20:24:10.863960,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL3dvcmxkLWVuZXJneS1zYXZpbmctZGF5L9IBUmh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL3dvcmxkLWVuZXJneS1zYXZpbmctZGF5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/JlnoDKCauZIPJ6Vp_rc0vJ6YEiL3OpaiWUqe9-U0PePIeL3-iJe-c4hCaIKHNq0zfzyjgFQ6Ka3t_oF0Rr2a9X3NlM6bPZQz4PT6k6jzoIe_JFHrBNj0eyQF5fWqs11_KLuBAqy_H8R6HTd0J7_3xvlT2fBOSgwOlgOPhBlcTpWe2ph7Qe1rIhVcUVP83Q=s0-h14-rp,Telefónica,,1698017047.422097,energy-resources
My energy efficiency efforts were frustrated by Mass Save,,Yesterday,2023-10-21 20:24:10.862945,news.google.com/./articles/CBMiY2h0dHBzOi8vY29tbW9ud2VhbHRobWFnYXppbmUub3JnL29waW5pb24vbXktZW5lcmd5LWVmZmljaWVuY3ktZWZmb3J0cy13ZXJlLWZydXN0cmF0ZWQtYnktbWFzcy1zYXZlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://commonwealthmagazine.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",CommonWealth magazine,,1698017047.422097,energy-resources
"Cooper criticizes Duke Energy carbon reduction plan, calls for more renewable resources",,Yesterday,2023-10-21 20:24:10.860959,news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3Lm5ld3NvYnNlcnZlci5jb20vbmV3cy9wb2xpdGljcy1nb3Zlcm5tZW50L2FydGljbGUyODA3Nzg1NDAuaHRtbNIBS2h0dHBzOi8vYW1wLm5ld3NvYnNlcnZlci5jb20vbmV3cy9wb2xpdGljcy1nb3Zlcm5tZW50L2FydGljbGUyODA3Nzg1NDAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/sZOAdIjechyAcaZpUD1afZ3aqCHE7OvZKQqAanA9AUv9z67y4vcjUhIezg75BfM6OKDbt7SgKQ=s0-h14-rp,Raleigh News & Observer,,1698017047.422097,energy-resources
Can a single Colorado agency oversee both fossil fuel and clean ...,,Yesterday,2023-10-21 20:24:10.855950,news.google.com/./articles/CBMiUWh0dHBzOi8vY29sb3JhZG9uZXdzbGluZS5jb20vMjAyMy8xMC8yMS9jb2xvcmFkby1hZ2VuY3ktZm9zc2lsLWZ1ZWwtY2xlYW4tZW5lcmd5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://coloradonewsline.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Colorado Newsline,,1698017047.422097,energy-resources
"Investing in clean energy means careers, energy savings for ...",,2 days ago,2023-10-20 20:24:10.866566,news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnJnai5jb20vc3Rvcnkvb3Bpbmlvbi8yMDIzLzEwLzIwL2ludmVzdGluZy1pbi1jbGVhbi1lbmVyZ3ktbWVhbnMtY2FyZWVycy1lbmVyZ3ktc2F2aW5ncy1mb3ItbmV2YWRhbnMvNzEyMzQyMTcwMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.rgj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Reno Gazette Journal,,1698017047.422097,energy-resources
Ameresco LFG-to-RNG plant starts operations at Republic landfill,,2 days ago,2023-10-20 20:24:10.862945,news.google.com/./articles/CBMicmh0dHBzOi8vd3d3Lndhc3RldG9kYXltYWdhemluZS5jb20vbmV3cy9hbWVyZXNjby1sYW5kZmlsbC1nYXMtdG8tcm5nLXBsYW50LXN0YXJ0cy1vcGVyYXRpb25zLWF0LXJlcHVibGljLWxhbmRmaWxsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.wastetodaymagazine.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Waste Today Magazine,,1698017047.422097,energy-resources
"For EERC and partners, federal funding energizes quest to develop ...",,2 days ago,2023-10-20 20:24:10.861954,news.google.com/./articles/CBMiiQFodHRwczovL3d3dy5ncmFuZGZvcmtzaGVyYWxkLmNvbS9idXNpbmVzcy9mb3ItZWVyYy1hbmQtcGFydG5lcnMtZmVkZXJhbC1mdW5kaW5nLWVuZXJnaXplcy1xdWVzdC10by1kZXZlbG9wLWJldHRlci1zb3VyY2UtZm9yLWNsZWFuLWVuZXJnedIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/A41zLKmEUruvLEpvZl1mIfpqsd0Fa7uUfVmcnQk0MjCpL2N2Tfj68jXIbxHgf5FGCPu9F_8C=s0-h14-rp,Grand Forks Herald,,1698017047.422097,energy-resources
Several Insiders Invested In Strategic Energy Resources Flagging Positive News,,2 days ago,2023-10-20 20:24:10.860959,news.google.com/./articles/CBMilQFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL2F1L21hdGVyaWFscy9hc3gtc2VyL3N0cmF0ZWdpYy1lbmVyZ3ktcmVzb3VyY2VzLXNoYXJlcy9uZXdzL3NldmVyYWwtaW5zaWRlcnMtaW52ZXN0ZWQtaW4tc3RyYXRlZ2ljLWVuZXJneS1yZXNvdXJjZXMtZmxhZ9IBmQFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL2F1L21hdGVyaWFscy9hc3gtc2VyL3N0cmF0ZWdpYy1lbmVyZ3ktcmVzb3VyY2VzLXNoYXJlcy9uZXdzL3NldmVyYWwtaW5zaWRlcnMtaW52ZXN0ZWQtaW4tc3RyYXRlZ2ljLWVuZXJneS1yZXNvdXJjZXMtZmxhZy9hbXA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Q9An0zgrqTSUNXVtm9msSlGuh01p9NOdf1TdFKRzyk9Oqi4WOcwfG73mam_wpbHflB5llbFo9aOYO8zkFEYo3jaLwTjrgve8Orqkvv6L8xeYhrWaTvL7nfbJbSioWWIDntz8X5CfDRQyY6ulRQoys0jp4rRT38bSlbuSsRXHkfMVng15wB2TLCaM0CB1=s0-h14-rp,Simply Wall St,,1698017047.422097,energy-resources
Western teams lead pioneering research in small modular reactors ...,,2 days ago,2023-10-20 20:24:10.859954,news.google.com/./articles/CBMiYmh0dHBzOi8vbmV3cy53ZXN0ZXJudS5jYS8yMDIzLzEwL3dlc3Rlcm4tdGVhbXMtbGVhZC1waW9uZWVyaW5nLXJlc2VhcmNoLWluLXNtYWxsLW1vZHVsYXItcmVhY3RvcnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://news.westernu.ca&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Western News,,1698017047.422097,energy-resources
Careers in Energy Week spotlights opportunities supporting ...,,2 days ago,2023-10-20 20:24:10.858963,news.google.com/./articles/CBMihAFodHRwczovL3d3dy5taWNoaWdhbi5nb3YvbGVvL25ld3MvMjAyMy8xMC8yMC9jYXJlZXJzLWluLWVuZXJneS13ZWVrLXNwb3RsaWdodHMtb3Bwb3J0dW5pdGllcy1zdXBwb3J0aW5nLW1pY2hpZ2FuLWNsZWFuLWVuZXJneS1mdXR1cmXSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.michigan.gov&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Michigan Courts,,1698017047.422097,energy-resources
"AERO Expo allows exchange of information on agriculture, food ...",,2 days ago,2023-10-20 20:24:10.856955,news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lmt0dmguY29tL25ld3MvYWVyby1leHBvLWFsbG93cy1leGNoYW5nZS1vZi1pbmZvcm1hdGlvbi1vbi1hZ3JpY3VsdHVyZS1mb29kLXN5c3RlbXMtYW5kLXJlbmV3YWJsZS1lbmVyZ3nSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/AazdU-30P2U62gBHoPsymw1Wa4_K5OFhbhM2SlfDYkm9zemU9Y0TTf50xPzDnx2l2x1BnW3O=s0-h14-rp,KTVH,,1698017047.422097,energy-resources
"Grids or gridlock, plus other top energy stories this week",,2 days ago,2023-10-20 20:24:10.855950,news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDIzLzEwL2dyaWRzLWVsZWN0cmljaXR5LWdyZWVuLWVuZXJneS1uZXdzLTIzLW9jdG9iZXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/7fPF3RiRh8tUQ2K2M6gj96J6xJnoDBKu1IhHgQTMw_d3V6ar9nvDZVmZ01FhXW7kD3shSkiz=s0-h14-rp,World Economic Forum,,1698017047.422097,energy-resources
"Heinrich, Cortez Masto, Kelly, Padilla & Wyden Introduce Bicameral ...",,2 days ago,2023-10-20 20:24:10.854951,news.google.com/./articles/CBMivQFodHRwczovL3d3dy5oZWlucmljaC5zZW5hdGUuZ292L25ld3Nyb29tL3ByZXNzLXJlbGVhc2VzL2hlaW5yaWNoLWNvcnRlei1tYXN0by1rZWxseS1wYWRpbGxhLWFuZC13eWRlbi1pbnRyb2R1Y2UtYmljYW1lcmFsLWxlZ2lzbGF0aW9uLXRvLWhlbHAtaG9tZW93bmVycy1pbnN0YWxsLW5ldy1yZW5ld2FibGUtZW5lcmd5LXN5c3RlbXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.heinrich.senate.gov&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Senator Martin Heinrich,,1698017047.422097,energy-resources
US DOE's $7B Clean Hydrogen Hub Grant: The 7 Chosen Ones,,2 days ago,2023-10-20 20:24:10.853956,news.google.com/./articles/CBMiVWh0dHBzOi8vY2FyYm9uY3JlZGl0cy5jb20vdXMtZG9lcy03Yi1jbGVhbi1oeWRyb2dlbi1odWItZ3JhbnQtdGhlLTctY2hvc2VuLW9uZXMtZmh5ZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/I282FMA6fp6-m7vYF_aHAP2dX_xoy_BogrGP0c7_JX7kbt--QhByIELRouFetnqt08FBX8mf4A=s0-h14-rp,CarbonCredits.com,,1698017047.422097,energy-resources
FERC approves wave of gas projects as Democrats fume,,2 days ago,2023-10-20 20:24:10.850860,news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmVlbmV3cy5uZXQvYXJ0aWNsZXMvZmVyYy1hcHByb3Zlcy13YXZlLW9mLWdhcy1wcm9qZWN0cy1hcy1kZW1vY3JhdHMtZnVtZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.eenews.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",E&E News,,1698017047.422097,energy-resources
Biden-Harris Administration Opens Low-Income Communities ...,,3 days ago,2023-10-19 20:24:10.866017,news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmVuZXJneS5nb3YvYXJ0aWNsZXMvYmlkZW4taGFycmlzLWFkbWluaXN0cmF0aW9uLW9wZW5zLWxvdy1pbmNvbWUtY29tbXVuaXRpZXMtYm9udXMtY3JlZGl0LXByb2dyYW0tY2xlYW4tZW5lcmd50gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.energy.gov&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Energy.gov,,1698017047.422097,energy-resources
"Regional integration key to energy transition in Africa, says Oando boss",,3 days ago,2023-10-19 20:24:10.866017,news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIzLzEwL3JlZ2lvbmFsLWludGVncmF0aW9uLWtleS10by1lbmVyZ3ktdHJhbnNpdGlvbi1pbi1hZnJpY2Etc2F5cy1vYW5kby1ib3NzL9IBcGh0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIzLzEwL3JlZ2lvbmFsLWludGVncmF0aW9uLWtleS10by1lbmVyZ3ktdHJhbnNpdGlvbi1pbi1hZnJpY2Etc2F5cy1vYW5kby1ib3NzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Ut--NSfwKpz5Qo2M9rSUAXvcHXxVLAHkblwhcFxcsxPSuDD3k4ol4mL8uAg29fHND8In0TvdIuU=s0-h14-rp,Vanguard,,1698017047.422097,energy-resources
Guidehouse Insights Estimates Market for Residential Energy ...,,3 days ago,2023-10-19 20:24:10.861954,news.google.com/./articles/CBMiqAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2d1aWRlaG91c2UtaW5zaWdodHMtZXN0aW1hdGVzLW1hcmtldC1mb3ItcmVzaWRlbnRpYWwtZW5lcmd5LW1hbmFnZW1lbnQtc3lzdGVtcy13aWxsLWdyb3ctdG8tMS0zLWJpbGxpb24tYnktMjAzMi0tMzAxOTYxMzE2Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/kd4boDIAMrfLacAtxrTqjqFkNwWWXvjlUXvGopbygXrEd8tqNFDDupdS_U-aXg9Cs2UvIR2O_g=s0-h14-rp,PR Newswire,,1698017047.422097,energy-resources
Where Old Meets New: Energy Transition Projects Collide with Oil ...,,3 days ago,2023-10-19 20:24:10.861954,news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3Lmpkc3VwcmEuY29tL2xlZ2FsbmV3cy93aGVyZS1vbGQtbWVldHMtbmV3LWVuZXJneS10cmFuc2l0aW9uLTI0NjQ2MTkv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.jdsupra.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",JD Supra,,1698017047.422097,energy-resources
Law enforcement teaming up with Minnesota Energy Resources to ...,,3 days ago,2023-10-19 20:24:10.860959,news.google.com/./articles/CBMimgFodHRwczovL3d3dy5raW10LmNvbS9uZXdzL2xhdy1lbmZvcmNlbWVudC10ZWFtaW5nLXVwLXdpdGgtbWlubmVzb3RhLWVuZXJneS1yZXNvdXJjZXMtdG8td2Fybi1hYm91dC1mcmF1ZC9hcnRpY2xlX2IyNjYxNGI2LTZlYTktMTFlZS05MTBlLTEzMmYyNTVlYmUwNy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.kimt.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",KIMT 3,,1698017047.422097,energy-resources
Consider wildlife and wildfire during fall yard cleanup,,3 days ago,2023-10-19 20:24:10.859954,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3Lm1pY2hpZ2FuLmdvdi9lZ2xlL25ld3Nyb29tL21pLWVudmlyb25tZW50LzIwMjMvMTAvMTkvY29uc2lkZXItd2lsZGxpZmUtYW5kLXdpbGRmaXJlLWR1cmluZy1mYWxsLXlhcmQtY2xlYW51cNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.michigan.gov&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Michigan Courts,,1698017047.422097,energy-resources
Why has OPEC increased its long-term oil demand outlook in the ...,,3 days ago,2023-10-19 20:24:10.858963,news.google.com/./articles/CBMiKWh0dHBzOi8vd3d3Lm9wZWMub3JnL29wZWNfd2ViL2VuLzcyMzIuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.opec.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",OPEC,,1698017047.422097,energy-resources
Unleashing India's Renewable Energy Potential: A Global ...,,3 days ago,2023-10-19 20:24:10.856955,news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmV5LmNvbS9lbl9pbi9lbmVyZ3ktcmVzb3VyY2VzL3VubGVhc2hpbmctaW5kaWEtcy1yZW5ld2FibGUtZW5lcmd5LXBvdGVudGlhbC1hLWdsb2JhbC1tYW51ZmFjdHVyaW5nLWh1YtIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ey.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Ernst & Young,,1698017047.422097,energy-resources
Don’t buy into the “clean energy is unreliable” narrative,,3 days ago,2023-10-19 20:24:10.854951,news.google.com/./articles/CBMiZmh0dHBzOi8vaW5kaWFuYWNhcGl0YWxjaHJvbmljbGUuY29tLzIwMjMvMTAvMTkvZG9udC1idXktaW50by10aGUtY2xlYW4tZW5lcmd5LWlzLXVucmVsaWFibGUtbmFycmF0aXZlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://indianacapitalchronicle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Indiana Capital Chronicle,,1698017047.422097,energy-resources
